match_id,stage,start_time,team1,team2,match_format,game_id,game_number,map_name,score1,score2,roster1,roster2,full_roster1,full_roster2
10223,Stage 1,2018-01-10 16:00:00,SFS,VAL,regular,5599,1,dorado,2,3,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Agilities|Envy|Fate|Kariv|Soon|Unkoe,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Agilities|Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo
10223,Stage 1,2018-01-10 16:00:00,SFS,VAL,regular,5600,2,temple-of-anubis,3,4,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Agilities|Envy|Fate|Kariv|Soon|Unkoe,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Agilities|Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo
10223,Stage 1,2018-01-10 16:00:00,SFS,VAL,regular,5601,3,ilios,1,2,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Kariv|Soon|Unkoe|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Agilities|Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo
10223,Stage 1,2018-01-10 16:00:00,SFS,VAL,regular,5602,4,numbani,1,2,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Kariv|Soon|Unkoe|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Agilities|Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo
10224,Stage 1,2018-01-10 18:00:00,SHD,GLA,regular,5603,1,dorado,0,1,Altering|Diya|Freefeel|Roshan|Undead|Xushu,BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10224,Stage 1,2018-01-10 18:00:00,SHD,GLA,regular,5604,2,temple-of-anubis,1,2,Altering|Diya|Freefeel|MG|Roshan|Undead,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10224,Stage 1,2018-01-10 18:00:00,SHD,GLA,regular,5605,3,ilios,0,2,Altering|Diya|Freefeel|MG|Roshan|Undead,Asher|BigGoose|Bischu|Hydration|Shaz|iRemiix,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10224,Stage 1,2018-01-10 18:00:00,SHD,GLA,regular,5606,4,eichenwalde,0,1,Diya|Fiveking|Freefeel|MG|Roshan|Undead,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10225,Stage 1,2018-01-10 19:30:00,DAL,SEO,regular,5607,1,junkertown,3,2,Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou,FLETA|Miro|Munchkin|ZUNBA|ryujehong|tobi,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi
10225,Stage 1,2018-01-10 19:30:00,DAL,SEO,regular,5608,2,temple-of-anubis,5,6,Chipshajen|EFFECT|HarryHook|Mickie|Taimou|xQc,FLETA|Miro|Munchkin|ZUNBA|ryujehong|tobi,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi
